score	df.info.line	df.info.class
group11.day28.R32.Ral_181_13	-3.61495189550551	181	line
group11.day28.R32.Ral_181_14	-1.12216530979391	181	line
group11.day28.R32.Ral_181_15	-1.76920795108574	181	line
group11.day28.R32.Ral_181_16	0.968566469592314	181	line
group11.day28.R32.Ral_181_17	-1.87244227643052	181	line
group11.day28.R32.Ral_181_18	-1.63236711224704	181	line
group11.day28.R32.Ral_181_19	2.40796730728372	181	line
group11.day28.R32.Ral_181_2	-0.0435258791276963	181	line
group11.day28.R32.Ral_181_3	-0.32487784192991	181	line
group11.day28.R32.Ral_181_4	0.735617676399977	181	line
group11.day28.R32.Ral_181_5	-2.6716724956342	181	line
group11.day28.R32.Ral_181_6	-2.39770646976403	181	line
group11.day28.R32.Ral_181_7	-1.86022318953249	181	line
group11.day28.R32.Ral_181_8	0.621089685690873	181	line
group11.day28.R32.Ral_181_9	0.155743801616828	181	line
group4.day28.R32.Ral_181_1	2.89679276052721	181	line
group4.day28.R32.Ral_181_2	1.44425426757529	181	line
group4.day28.R32.Ral_181_3	-0.0211294578725282	181	line
group4.day28.R32.Ral_181_4	-3.96587890483136	181	line
group12.day28.R32.Ral_189_1	-0.124341614925692	189	line
group12.day28.R32.Ral_189_10	2.85321388824525	189	line
group12.day28.R32.Ral_189_2	-1.32652889740214	189	line
group12.day28.R32.Ral_189_3	2.20659672677521	189	line
group12.day28.R32.Ral_189_4	0.453988598617368	189	line
group12.day28.R32.Ral_189_5	3.1346358538586	189	line
group12.day28.R32.Ral_189_6	-1.0766703697685	189	line
group12.day28.R32.Ral_189_7	2.47643278242578	189	line
group12.day28.R32.Ral_189_8	2.15108690866545	189	line
group12.day28.R32.Ral_189_9	-0.894734474302209	189	line
group8.day28.R32.Ral_189_1	-0.300729454639814	189	line
group12.day28.R32.Ral_195_1	1.9959418975094	195	line
group12.day28.R32.Ral_195_10	2.10913862184138	195	line
group12.day28.R32.Ral_195_11	2.52713243349921	195	line
group12.day28.R32.Ral_195_2	-0.902800741079578	195	line
group12.day28.R32.Ral_195_3	-1.39251895019752	195	line
group12.day28.R32.Ral_195_4	0.141780471912037	195	line
group12.day28.R32.Ral_195_5	2.24614116481598	195	line
group12.day28.R32.Ral_195_6	0.499445466360094	195	line
group12.day28.R32.Ral_195_7	1.07896598166718	195	line
group12.day28.R32.Ral_195_8	-0.0609682985029066	195	line
group12.day28.R32.Ral_195_9	1.72233943969789	195	line
group8.day28.R32.Ral_195_1	3.18772271783732	195	line
group8.day28.R32.Ral_195_10	0.567590550229148	195	line
group8.day28.R32.Ral_195_2	0.0451169923464983	195	line
group8.day28.R32.Ral_195_3	1.70460955269784	195	line
group8.day28.R32.Ral_195_4	3.87595198115885	195	line
group8.day28.R32.Ral_195_5	1.36595743324079	195	line
group8.day28.R32.Ral_195_6	2.93320085762373	195	line
group8.day28.R32.Ral_195_7	2.49353641171248	195	line
group8.day28.R32.Ral_195_8	0.440573377669453	195	line
group8.day28.R32.Ral_195_9	4.01029482549885	195	line
group15.day27.R32.Ral_208_1	0.957765680681252	208	line
group15.day27.R32.Ral_208_2	5.37894130337687	208	line
group15.day27.R32.Ral_208_3	3.01899143587387	208	line
group15.day27.R32.Ral_208_4	2.6421221744443	208	line
group15.day27.R32.Ral_208_5	-1.35454425627579	208	line
group15.day27.R32.Ral_208_6	5.10268943892764	208	line
group15.day27.R32.Ral_208_7	1.92794845608902	208	line
group15.day27.R32.Ral_208_8	0.573877051240179	208	line
group15.day27.R32.Ral_208_9	0.13283731156305	208	line
group15.day28.R32.Ral_208_1	1.5633561166263	208	line
group19.day28.R32.Ral_208_1	3.29266506572183	208	line
group19.day28.R32.Ral_208_10	0.941030311608497	208	line
group19.day28.R32.Ral_208_2	-1.42109129705394	208	line
group19.day28.R32.Ral_208_3	3.59477893255964	208	line
group19.day28.R32.Ral_208_4	7.21387543628234	208	line
group19.day28.R32.Ral_208_5	1.71698837475398	208	line
group19.day28.R32.Ral_208_6	3.67910801746936	208	line
group19.day28.R32.Ral_208_7	2.03295155849607	208	line
group19.day28.R32.Ral_208_8	2.45013076768945	208	line
group19.day28.R32.Ral_208_9	1.70534222100302	208	line
group10.day28.R32.Ral_21_1	0.460137361469365	21	line
group10.day28.R32.Ral_21_10	3.40855047327671	21	line
group10.day28.R32.Ral_21_2	0.25754280958364	21	line
group10.day28.R32.Ral_21_3	3.64953709405851	21	line
group10.day28.R32.Ral_21_4	2.15976611362955	21	line
group10.day28.R32.Ral_21_5	3.75193285775758	21	line
group10.day28.R32.Ral_21_6	1.57813615773629	21	line
group10.day28.R32.Ral_21_7	0.781246018240109	21	line
group10.day28.R32.Ral_21_8	2.56008496626258	21	line
group10.day28.R32.Ral_21_9	2.15894076699614	21	line
group3.day28.R32.Ral_21_1	2.41618355941438	21	line
group3.day28.R32.Ral_21_10	1.65656673923013	21	line
group3.day28.R32.Ral_21_11	4.57802871444622	21	line
group3.day28.R32.Ral_21_12	0.902062892797262	21	line
group3.day28.R32.Ral_21_13	-1.26215980640116	21	line
group3.day28.R32.Ral_21_14	1.41749515876296	21	line
group3.day28.R32.Ral_21_15	2.4481911170849	21	line
group3.day28.R32.Ral_21_2	4.94588245078036	21	line
group3.day28.R32.Ral_21_3	3.17927199779737	21	line
group3.day28.R32.Ral_21_4	4.63659549964077	21	line
group3.day28.R32.Ral_21_5	3.11179452388661	21	line
group3.day28.R32.Ral_21_6	0.483936848242174	21	line
group3.day28.R32.Ral_21_7	1.72955633216122	21	line
group3.day28.R32.Ral_21_9	3.22725472160525	21	line
group11.day28.R32.Ral_228_1	-0.29709221173551	228	line
group11.day28.R32.Ral_228_2	0.15638326329353	228	line
group11.day28.R32.Ral_228_3	-1.64200069443049	228	line
group11.day28.R32.Ral_228_4	-1.72659262711768	228	line
group11.day28.R32.Ral_228_5	-0.915330020094285	228	line
group11.day28.R32.Ral_228_6	-0.906126060857732	228	line
group11.day28.R32.Ral_228_7	-1.25793429643423	228	line
group11.day28.R32.Ral_228_8	-0.0345101783030264	228	line
group11.day28.R32.Ral_228_9	-1.2822239191541	228	line
group12.day28.R32.Ral_228_1	0.941566969684624	228	line
group12.day28.R32.Ral_228_10	0.419865057994036	228	line
group12.day28.R32.Ral_228_2	-3.52770051462569	228	line
group12.day28.R32.Ral_228_3	-0.0392873003502822	228	line
group12.day28.R32.Ral_228_4	-0.334104418189511	228	line
group12.day28.R32.Ral_228_5	0.511284777168529	228	line
group12.day28.R32.Ral_228_7	-2.41042555784405	228	line
group12.day28.R32.Ral_228_8	-0.113694106804121	228	line
group12.day28.R32.Ral_228_9	-1.5978985967419	228	line
group8.day28.R32.Ral_228_1	-0.938167244129244	228	line
group8.day28.R32.Ral_228_2	-0.841925006210403	228	line
group8.day28.R32.Ral_228_3	0.997353736672603	228	line
group8.day28.R32.Ral_228_4	1.36332852197857	228	line
group8.day28.R32.Ral_228_5	1.11035760783365	228	line
group15.day27.R32.Ral_229_1	0.105327564618938	229	line
group15.day27.R32.Ral_229_2	1.38213687796328	229	line
group15.day27.R32.Ral_229_3	-3.23901495353946	229	line
group15.day28.R32.Ral_229_1	-1.39181789057927	229	line
group15.day28.R32.Ral_229_2	-1.74682283210736	229	line
group15.day28.R32.Ral_229_3	-1.07502482413181	229	line
group15.day28.R32.Ral_229_4	2.98325182481129	229	line
group15.day28.R32.Ral_229_5	-1.03128287578112	229	line
group15.day28.R32.Ral_229_6	-0.73628448318943	229	line
group15.day28.R32.Ral_229_7	-1.8720969696194	229	line
group15.day28.R32.Ral_229_8	-1.81709223127907	229	line
group15.day28.R32.Ral_229_9	-1.63430661586658	229	line
group19.day28.R32.Ral_229_1	-1.99624683718411	229	line
group19.day28.R32.Ral_229_10	1.11464171312069	229	line
group19.day28.R32.Ral_229_2	-1.83605179014159	229	line
group19.day28.R32.Ral_229_3	-1.40729732070129	229	line
group19.day28.R32.Ral_229_4	-2.73907113005697	229	line
group19.day28.R32.Ral_229_5	1.17784493303899	229	line
group19.day28.R32.Ral_229_6	0.789936675675177	229	line
group19.day28.R32.Ral_229_7	-6.04380570279638	229	line
group19.day28.R32.Ral_229_9	-0.908807021763446	229	line
group25.day28.R32.Ral_229_1	0.331818174437644	229	line
group25.day28.R32.Ral_229_10	-2.60244938359901	229	line
group25.day28.R32.Ral_229_2	0.322053033830088	229	line
group25.day28.R32.Ral_229_3	-0.424599943394593	229	line
group25.day28.R32.Ral_229_4	2.06586831432101	229	line
