genename nsnp obs ngreater nperm prop rank log log.snp
FBgn0085446 722 4.34908 167 10000 0.0167983201679832 279 1.774734145551 2.85853719756964
FBgn0063924 4 2.93706 168 10000 0.0168983101689831 283 1.77215672266319 0.602059991327962
FBgn0035111 4 2.93706 168 10000 0.0168983101689831 283 1.77215672266319 0.602059991327962
FBgn0037801 32 3.52944 169 10000 0.016998300169983 285 1.76959450589859 1.50514997831991
FBgn0266817 52 3.62459 169 10000 0.016998300169983 285 1.76959450589859 1.7160033436348
FBgn0014391 48 3.42557 169 10000 0.016998300169983 285 1.76959450589859 1.68124123737559
FBgn0036319 262 4.10043 169 10000 0.016998300169983 285 1.76959450589859 2.41830129131975
FBgn0037339 23 3.30224 170 10000 0.0170982901709829 289 1.76704731688471 1.36172783601759
FBgn0032361 240 3.88914 170 10000 0.0170982901709829 289 1.76704731688471 2.38021124171161
FBgn0025709 82 3.70404 171 10000 0.0171982801719828 291 1.76451498036931 1.91381385238372
FBgn0033889 77 3.70859 171 10000 0.0171982801719828 291 1.76451498036931 1.88649072517248
FBgn0042146 33 3.53296 172 10000 0.0172982701729827 293 1.76199732414807 1.51851393987789
FBgn0035857 95 3.80684 172 10000 0.0172982701729827 293 1.76199732414807 1.97772360528885
FBgn0263391 511 4.22728 172 10000 0.0172982701729827 293 1.76199732414807 2.70842090013471
FBgn0034744 63 3.60437 173 10000 0.0173982601739826 296 1.75949417899426 1.79934054945358
